State,County,FIPSCodes,Diabetes,LeisureInactivity,Obesity
Arkansas,Newton,05037,12.4,37.2,36
Arkansas,Ouachita,05039,13.3,35.9,37.8
Arkansas,Perry,05041,12.2,31.9,33.1
Arkansas,Phillips,05043,16.6,35.5,40
Arkansas,Pike,05045,12.9,27.2,35.1
Arkansas,Poinsett,05047,11.8,33,35.7
Arkansas,Polk,05049,12.3,33.5,32.5
Arkansas,Pope,05051,11,27.6,34.8
Arkansas,Prairie,05053,12.9,34.3,34.5
Arkansas,Pulaski,05055,10.8,27.3,32.9
Arkansas,Randolph,05057,12.5,35.1,35.2
Arkansas,StFrancis,05059,13.3,36.6,39.5
Arkansas,Saline,05061,10.9,27.3,31.5
Arkansas,Scott,05063,12.2,31.1,31.1
Arkansas,Searcy,05065,12.3,32.4,31.2
Arkansas,Sebastian,05067,12.8,33.6,31
Arkansas,Sevier,05069,12.9,31.7,38.7
Arkansas,Sharp,05071,12.7,30.3,30.2
Arkansas,Stone,05073,14.5,31,34.8
Arkansas,Union,05075,12.7,35.8,36.3
Arkansas,Vanburen,05077,14,28.3,34.4
Arkansas,Washington,05079,8,24.1,29.2
Arkansas,White,05081,10.6,28,33.9
Arkansas,Woodruff,05083,14.4,33.8,36.7
Arkansas,Yell,05085,12.2,34.4,34.3
California,Alameda,05087,7.7,15,20.5
California,Alpine,05089,10.1,17.7,23.5
California,Amador,05091,10.1,17.2,24.8
California,Butte,05093,9.5,16.9,24.4
California,Calaveras,05095,10,17.6,24.3
California,Colusa,05097,8.3,15.9,22.3
California,ContraCosta,05099,8.3,16.5,22.4
California,DelNorte,05101,8.7,18.1,25.5
California,ElDorado,05103,8,14.4,21
California,Fresno,05105,9,18.3,28.5
California,Glenn,05107,8.4,16.6,25.9
California,Humboldt,05109,8.3,14.8,25.7
California,Imperial,05111,8,23.1,22.1
California,Inyo,05113,10,15.2,22.8
California,Kern,05115,9,21.9,28
California,Kings,05117,8.5,18.5,23.7
California,Lake,05119,10.5,21.6,26.5
California,Lassen,05121,8,16.5,24.1
California,LosAngeles,05123,8,17,21.3
California,Madera,05125,8.9,19.6,27.6
California,Marin,05127,6.6,10.7,15.8
California,Mariposa,05129,10.3,17.9,24.1
California,Mendocino,05131,8,17.9,24.2
California,Merced,05133,8.3,20,31.1
California,Modoc,05135,9.2,21,24.1
California,Mono,05137,6.8,13.4,21.6
California,Monterey,05139,6.7,16.2,22
California,Napa,05141,7.4,13.2,24.1
California,Nevada,05143,6.8,14.3,17.8
California,Orange,05145,7.6,15.8,20.7
California,Placer,05147,7.4,14.4,22.5
California,Plumas,05149,9.6,18.9,24.8
California,Riverside,06001,9.6,19,25.9
California,Sacramento,06003,8.8,16.7,26.9
California,Sanbenito,06005,7.2,14.7,23.3
California,SanBernardino,06007,9.1,19.3,27.7
California,SanDiego,06009,7.6,15.3,22.6
California,SanFrancisco,06011,6.8,14.8,15.2
California,SanJoaquin,06013,9.6,21.2,30.4
California,SanLuisObispo,06015,6.9,13.6,20.4
California,SanMateo,06017,7.7,15.7,20.8
California,SantaBarbara,06019,6.5,13.9,19.4
California,SantaClara,06021,7.5,15.5,20.4
California,SantaCruz,06023,6.4,10.4,21.5
California,Shasta,06025,10.5,19.3,27.3
California,Sierra,06027,9.8,17.2,23.3
California,Siskiyou,06029,8.7,19.4,21.7
California,Solano,06031,10.7,20.4,26.5
California,Sonoma,06033,6.4,12.3,22.4
California,Stanislaus,06035,9.4,19.9,32.1
California,Sutter,06037,8.8,21.7,27.6
California,Tehama,06039,9.1,18.4,27.1
California,Trinity,06041,9.7,18.7,25
California,Tulare,06043,7.5,19.7,28.3
California,Tuolumne,06045,9.6,19.5,22.7
California,Ventura,06047,7,16.7,21.3
California,Yolo,06049,6.8,14.4,21.1
California,Yuba,06051,8.5,19.3,27.6
Colorado,Adams,06053,7,19.5,24.9
Colorado,Alamosa,06055,7.1,20.6,21.3
Colorado,Arapahoe,06057,6.1,16.2,21.2
Colorado,Archuleta,06059,6.3,15.8,16.6
Colorado,Baca,06061,8.3,22.5,20.6
Colorado,Bent,06063,7,21.7,24.3
Colorado,Boulder,06065,4.7,9.7,15
Colorado,Broomfield,06067,5.9,13,20.2
Colorado,Chaffee,06069,7,16.3,18
Colorado,Cheyenne,06071,7.1,23.4,25.3
Colorado,ClearCreek,06073,6.7,15.6,17.3
Colorado,Conejos,06075,6.9,20.3,19.2
Colorado,Costilla,06077,8.2,21.4,21.5
Colorado,Crowley,06079,6.6,21.5,24.1
Colorado,Custer,06081,7.9,20.2,20.5
Colorado,Delta,06083,8.6,19.6,22.1
Colorado,Denver,06085,6.3,13.8,17
Colorado,Dolores,06087,7.5,17.7,20
Colorado,Douglas,06089,4.5,10.9,16.3
Colorado,Eagle,06091,4.1,9.4,12
Colorado,Elbert,06093,5.3,18,20.1
Colorado,ElPaso,06095,6.5,16.7,21.8
Colorado,Fremont,06097,8.4,18.8,22.1
Colorado,Garfield,06099,5.8,11.2,19.8
Colorado,Gilpin,06101,6.7,18.7,19.3
Colorado,Grand,06103,5.4,14.5,18.7
Colorado,Gunnison,06105,4.8,12,16
Colorado,Hinsdale,06107,7,16.7,21.2
Colorado,Huerfano,06109,8.7,21.9,19.7
Colorado,Jackson,06111,6.8,17.8,22.3
Colorado,Jefferson,06113,5.8,13.2,19.8
Colorado,Kiowa,06115,8.5,20.6,23.9
Colorado,KitCarson,08001,8.6,23.5,26.1
Colorado,Lake,08003,5.2,16.7,19.3
Colorado,LaPlata,08005,5.6,13.3,17.2
Colorado,Larimer,08007,5.3,12.2,19.9
Colorado,LasAnimas,08009,8.1,20,23.1
Colorado,Lincoln,08011,8.6,22.1,24.3
Colorado,Logan,08013,7.5,20.3,23.9
Colorado,Mesa,08014,7.6,17.8,23.2
Colorado,Mineral,08015,7.4,18.2,19.3
Colorado,Moffat,08017,6.8,24.6,27.2
Colorado,Montezuma,08019,6.3,20.4,20.8
Colorado,Montrose,08021,6.9,16.6,21.9
Colorado,Morgan,08023,7.6,20.4,29.8
Colorado,Otero,08025,7.9,20.7,27.4
Colorado,Ouray,08027,6.9,14.9,18.5
Colorado,Park,08029,6.1,18.1,20.3
Colorado,Phillips,08031,7.7,20.5,22
Colorado,Pitkin,08033,4.9,10.2,13.3
Colorado,Prowers,08035,7.1,23.3,26.3
Colorado,Pueblo,08037,9,18.8,26.5
Colorado,RioBlanco,08039,6,16.8,22.2
Colorado,RioGrande,08041,7.1,20.2,23.5
Colorado,Routt,08043,3.9,10.3,14.7
Colorado,Saguache,08045,6,18.6,22.2
Colorado,Sanjuan,08047,6.4,16.5,21
Colorado,Sanmiguel,08049,4.8,12.8,16.4
Colorado,Sedgwick,08051,7.9,21.4,24.2
Colorado,Summit,08053,4,9.2,13.2
Colorado,Teller,08055,7,17,16.7
Colorado,Washington,08057,7.1,19.8,24
Colorado,Weld,08059,6.3,17.7,25.3
Colorado,Yuma,08061,6.4,20.9,24.2
Connecticut,Fairfield,08063,7.3,19.8,19.6
Connecticut,Hartford,08065,8.9,22.7,26.1
Connecticut,Litchfield,08067,7.1,19.7,23.5
Connecticut,Middlesex,08069,8.7,20.2,23.5
Connecticut,Newhaven,08071,9.5,24.1,26.9
Connecticut,Newlondon,08073,8.6,21.4,26.3
Connecticut,Tolland,08075,7.9,17.2,24
Connecticut,Windham,08077,10.2,23.5,30.3
Delaware,Kent,08079,11.4,27.4,32.7
Delaware,Newcastle,08081,8.5,21.6,25.9
Delaware,Sussex,08083,11.8,26.1,30.7
DistrictofColumbia,Washington,08085,8.2,17.5,21.5
Florida,Alachua,08087,7.3,20.7,24.6
Florida,Baker,08089,13.8,32.7,37.1
Florida,Bay,08091,10.4,25.3,28.7
Florida,Bradford,08093,13.7,31.1,35.9
Florida,Brevard,08095,12.2,25,28.9
Florida,Broward,08097,9.5,22.7,24.7
Florida,Calhoun,08099,14.2,32.5,37
Florida,Charlotte,08101,13.4,23.1,24.8
Florida,Citrus,08103,12.1,26,27
Florida,Clay,08105,11,24.7,28.8
Florida,Collier,08107,10.1,16.9,19.9
Florida,Columbia,08109,13.5,30.3,35.8
Florida,DeSoto,08111,13.1,31.6,34.7
Florida,Dixie,08113,15,34.3,35.7
Florida,Duval,08115,11.5,25.4,29.4
Florida,Escambia,08117,12.3,24.4,29.6
Florida,Flagler,08119,12.1,22.7,27
Florida,Franklin,08121,10.3,29,25.3
Florida,Gadsden,08123,15.3,30.9,38.4
Florida,Gilchrist,08125,10.8,27.4,31.3
Florida,Glades,09001,13.1,33.9,35.6
Florida,Gulf,09003,11.8,26.5,31.6
Florida,Hamilton,09005,14.5,31.9,38.6
Florida,Hardee,09007,14.1,30.5,36.8
Florida,Hendry,09009,11.9,30.9,34.3
Florida,Hernando,09011,12.8,25.8,29.4
Florida,Highlands,09013,14.4,27.3,30.3
Florida,Hillsborough,09015,10.6,22.1,26.1
Florida,Holmes,10001,14.6,31.9,31.5
Florida,IndianRiver,10003,12,23.9,22.9
Florida,Jackson,10005,13.3,32.2,34
Florida,Jefferson,11001,14.2,27.7,35.6
Florida,Lafayette,12001,11.9,29.5,36.2
Florida,Lake,12003,12.9,23.5,30.5
Florida,Lee,12005,10.3,24.2,25.9
Florida,Leon,12007,9.2,20.1,26.7
Florida,Levy,12009,13.1,32.8,32
Florida,Liberty,12011,12.2,32.7,36.9
